baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
S1PR4	269.0507851	-1.309611549	1.083112515	-1.209118656	0.226617263	0.729035807
C19orf77	125.3142465	1.300231508	1.117445887	1.163574472	0.244596502	0.729035807
TLE2	1481.254468	-1.17530117	1.067904393	-1.100567783	0.271084814	0.729035807
DOHH	872.9972913	1.060414033	1.026671559	1.03286589	0.301666663	0.729035807
NCLN	1602.767107	-0.947792244	0.978614904	-0.96850379	0.332792827	0.729035807
GNA15	220.4820203	-0.581918031	0.813055822	-0.715717194	0.474165992	0.729035807
TUBB4A	3.579918364	0.544805248	0.845724199	0.644187844	0.519453632	0.729035807
OAZ1	2.095019841	-0.527812056	0.84493225	-0.624679737	0.532181275	0.729035807
GTF2F1	1.676015872	-0.50140389	0.831328506	-0.603135687	0.546418427	0.729035807
GADD45GIP1	1.257011904	-0.461520317	0.8089032	-0.570550737	0.56830422	0.729035807
HNRNPM	1.257011904	-0.461520317	0.8089032	-0.570550737	0.56830422	0.729035807
PIP5K1C	1.257011904	-0.461520317	0.8089032	-0.570550737	0.56830422	0.729035807
CALR	0.838007936	-0.398754209	0.768770354	-0.518690929	0.603976288	0.729035807
GLT25D1	0.838007936	-0.398754209	0.768770354	-0.518690929	0.603976288	0.729035807
RPS19	0.838007936	-0.398754209	0.768770354	-0.518690929	0.603976288	0.729035807
UBA52	0.838007936	-0.398754209	0.768770354	-0.518690929	0.603976288	0.729035807
UBE2M	0.838007936	-0.398754209	0.768770354	-0.518690929	0.603976288	0.729035807
ATCAY	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
ATP1A3	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
CACNG7	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
CACNG8	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
CALM3	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
DIRAS1	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
FXYD1	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
LRRC4B	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
PIK3R2	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
PNMAL2	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
RPL28	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
SCAF1	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
SCN1B	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
SDHAF1	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
SLC17A7	0.596653061	0.342585499	0.709669329	0.482739616	0.629280631	0.729035807
GNA11	1056.924003	0.30340822	0.643520152	0.471482081	0.637296513	0.729035807
ARHGEF1	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
C3	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
DOT1L	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
ERCC1	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
GIPC1	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
GMIP	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
HSPB6	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
JUNB	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
KLF16	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
LSR	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
PLD3	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
RAB11B	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
RPL18	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
SEMA6B	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
TRIM28	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
UBXN6	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
USF2	0.419003968	-0.282685545	0.67426425	-0.419250382	0.675033155	0.729035807
NFIC	8401.651358	0.217320561	0.592792646	0.366604684	0.713913914	0.75590885
CELF5	1285.787346	0.146968143	0.496705003	0.295886174	0.76731701	0.796829203
AES	19868.68287	0.070740346	0.537447932	0.131622696	0.895282733	0.91217486
CIRBP	2.450318026	-0.038142102	1.156496175	-0.032980742	0.973689945	0.973689945
A1BG	0	NA	NA	NA	NA	NA
A1BG-AS1	0	NA	NA	NA	NA	NA
ABCA7	0	NA	NA	NA	NA	NA
ABHD8	0	NA	NA	NA	NA	NA
ACER1	0	NA	NA	NA	NA	NA
ACP5	0	NA	NA	NA	NA	NA
ACPT	0	NA	NA	NA	NA	NA
ACSBG2	0	NA	NA	NA	NA	NA
ACTL9	0	NA	NA	NA	NA	NA
ACTN4	0	NA	NA	NA	NA	NA
ADAMTS10	0	NA	NA	NA	NA	NA
ADAMTSL5	0	NA	NA	NA	NA	NA
ADAT3	0	NA	NA	NA	NA	NA
ADCK4	0	NA	NA	NA	NA	NA
AKAP8	0	NA	NA	NA	NA	NA
AKAP8L	0	NA	NA	NA	NA	NA
AKT1S1	0	NA	NA	NA	NA	NA
AKT2	0	NA	NA	NA	NA	NA
ALDH16A1	0	NA	NA	NA	NA	NA
ALKBH6	0	NA	NA	NA	NA	NA
ALKBH7	0	NA	NA	NA	NA	NA
AMH	0	NA	NA	NA	NA	NA
ANGPTL4	0	NA	NA	NA	NA	NA
ANGPTL6	0	NA	NA	NA	NA	NA
ANKLE1	0	NA	NA	NA	NA	NA
ANKRD24	0	NA	NA	NA	NA	NA
