Comparison	of group	s:  Bra	in-Adrenal	
	logFC	logCPM	PValue	FDR
CELF5	14.2911	15.1	0.00E+00	0.00E+00
S1PR4	-6.5517	12.97	1.86E-143	8.50E-141
TUBB4A	5.8281	7.16	1.56E-02	1.00E+00
OAZ1	-5.1735	6.97	1.25E-01	1.00E+00
GTF2F1	-4.8615	6.8	1.25E-01	1.00E+00
GADD45GIP1	-4.4629	6.61	2.50E-01	1.00E+00
HNRNPM	-4.4629	6.61	2.50E-01	1.00E+00
PIP5K1C	-4.4629	6.61	2.50E-01	1.00E+00
CALR	-3.9103	6.39	5.00E-01	1.00E+00
GLT25D1	-3.9103	6.39	5.00E-01	1.00E+00
RPS19	-3.9103	6.39	5.00E-01	1.00E+00
UBA52	-3.9103	6.39	5.00E-01	1.00E+00
UBE2M	-3.9103	6.39	5.00E-01	1.00E+00
ATCAY	3.3649	6.14	1.00E+00	1.00E+00
ATP1A3	3.3649	6.14	1.00E+00	1.00E+00
CACNG7	3.3649	6.14	1.00E+00	1.00E+00
CACNG8	3.3649	6.14	1.00E+00	1.00E+00
CALM3	3.3649	6.14	1.00E+00	1.00E+00
DIRAS1	3.3649	6.14	1.00E+00	1.00E+00
FXYD1	3.3649	6.14	1.00E+00	1.00E+00
LRRC4B	3.3649	6.14	1.00E+00	1.00E+00
PIK3R2	3.3649	6.14	1.00E+00	1.00E+00
PNMAL2	3.3649	6.14	1.00E+00	1.00E+00
RPL28	3.3649	6.14	1.00E+00	1.00E+00
SCAF1	3.3649	6.14	1.00E+00	1.00E+00
SCN1B	3.3649	6.14	1.00E+00	1.00E+00
SDHAF1	3.3649	6.14	1.00E+00	1.00E+00
SLC17A7	3.3649	6.14	1.00E+00	1.00E+00
ARHGEF1	-3.0032	6.13	1.00E+00	1.00E+00
C3	-3.0032	6.13	1.00E+00	1.00E+00
DOT1L	-3.0032	6.13	1.00E+00	1.00E+00
ERCC1	-3.0032	6.13	1.00E+00	1.00E+00
GIPC1	-3.0032	6.13	1.00E+00	1.00E+00
GMIP	-3.0032	6.13	1.00E+00	1.00E+00
HSPB6	-3.0032	6.13	1.00E+00	1.00E+00
JUNB	-3.0032	6.13	1.00E+00	1.00E+00
KLF16	-3.0032	6.13	1.00E+00	1.00E+00
LSR	-3.0032	6.13	1.00E+00	1.00E+00
PLD3	-3.0032	6.13	1.00E+00	1.00E+00
RAB11B	-3.0032	6.13	1.00E+00	1.00E+00
RPL18	-3.0032	6.13	1.00E+00	1.00E+00
SEMA6B	-3.0032	6.13	1.00E+00	1.00E+00
TRIM28	-3.0032	6.13	1.00E+00	1.00E+00
UBXN6	-3.0032	6.13	1.00E+00	1.00E+00
USF2	-3.0032	6.13	1.00E+00	1.00E+00
C19orf77	1.9804	11.77	5.65E-22	1.52E-19
TLE2	-1.8073	15.39	9.42E-208	7.63E-205
DOHH	1.3509	14.58	5.31E-76	1.72E-73
NCLN	-1.3407	15.5	2.10E-143	8.50E-141
GNA15	-0.7831	12.64	4.28E-08	8.66E-06
GNA11	0.228	14.87	3.41E-04	6.13E-02
CIRBP	-0.1698	6.98	1.00E+00	1.00E+00
NFIC	0.1305	17.86	7.20E-09	1.67E-06
AES	-0.0283	19.11	5.52E-02	1.00E+00
A1BG	0	5.81	1.00E+00	1.00E+00
A1BG-AS1	0	5.81	1.00E+00	1.00E+00
ABCA7	0	5.81	1.00E+00	1.00E+00
ABHD8	0	5.81	1.00E+00	1.00E+00
ACER1	0	5.81	1.00E+00	1.00E+00
ACP5	0	5.81	1.00E+00	1.00E+00
ACPT	0	5.81	1.00E+00	1.00E+00
ACSBG2	0	5.81	1.00E+00	1.00E+00
ACTL9	0	5.81	1.00E+00	1.00E+00
ACTN4	0	5.81	1.00E+00	1.00E+00
ADAMTS10	0	5.81	1.00E+00	1.00E+00
ADAMTSL5	0	5.81	1.00E+00	1.00E+00
ADAT3	0	5.81	1.00E+00	1.00E+00
ADCK4	0	5.81	1.00E+00	1.00E+00
AKAP8	0	5.81	1.00E+00	1.00E+00
AKAP8L	0	5.81	1.00E+00	1.00E+00
AKT1S1	0	5.81	1.00E+00	1.00E+00
AKT2	0	5.81	1.00E+00	1.00E+00
ALDH16A1	0	5.81	1.00E+00	1.00E+00
ALKBH6	0	5.81	1.00E+00	1.00E+00
ALKBH7	0	5.81	1.00E+00	1.00E+00
AMH	0	5.81	1.00E+00	1.00E+00
ANGPTL4	0	5.81	1.00E+00	1.00E+00
ANGPTL6	0	5.81	1.00E+00	1.00E+00
ANKLE1	0	5.81	1.00E+00	1.00E+00
ANKRD24	0	5.81	1.00E+00	1.00E+00
ANKRD27	0	5.81	1.00E+00	1.00E+00
ANO8	0	5.81	1.00E+00	1.00E+00
AP1M1	0	5.81	1.00E+00	1.00E+00
AP1M2	0	5.81	1.00E+00	1.00E+00
AP2A1	0	5.81	1.00E+00	1.00E+00
AP2S1	0	5.81	1.00E+00	1.00E+00
AP3D1	0	5.81	1.00E+00	1.00E+00
APBA3	0	5.81	1.00E+00	1.00E+00
APC2	0	5.81	1.00E+00	1.00E+00
APLP1	0	5.81	1.00E+00	1.00E+00
APOC1	0	5.81	1.00E+00	1.00E+00
APOC1P1	0	5.81	1.00E+00	1.00E+00
APOC2	0	5.81	1.00E+00	1.00E+00
APOC4	0	5.81	1.00E+00	1.00E+00
APOC4-APOC	2  0.0000	5.81	1.00E+00	1.00E+00
APOE	0	5.81	1.00E+00	1.00E+00
ARHGAP33	0	5.81	1.00E+00	1.00E+00
ARHGAP35	0	5.81	1.00E+00	1.00E+00
ARHGEF18	0	5.81	1.00E+00	1.00E+00
ARID3A	0	5.81	1.00E+00	1.00E+00
