		"Suspension"				"Biofilm"			
"ID_REF"	"IDENTIFIER"	4	7	15	24	4	7	15	24
"aas_b2836_at"	"aas"	447.8	600	722.2	447.1	432.1	485.3	650.5	568.8
"aat_b0885_at"	"aat"	185.4	114.6	625.4	452.8	374.8	162.4	655.6	566.5
"abrB_b0715_at"	"abrB"	224.4	204.5	415.2	471.2	236.3	265.5	340.6	489.4
"accA_b0185_at"	"accA"	633.4	399.6	306.3	367.8	654.2	377.2	302.1	419.2
"accB_b3255_at"	"accB"	1381.4	882.6	533.7	674.3	1404.4	1098.7	490.8	569.9
"accC_b3256_at"	"accC"	604	296.8	144.2	209.9	546.2	404.5	356	319.1
"accD_b2316_at"	"accD"	1117.5	1475.1	1190.2	849.5	1420.9	1246.4	809.1	726.1
"IG_1515_2431947_2432101_rev_at"	"accD"	908.7	866.6	840.5	538.1	1100.1	739.8	585.6	570.4
"aceA_b4015_at"	"aceA"	11706	24639.3	14014.9	6509.6	14043.3	33216	13797.1	4948.6
"aceB_b4014_at"	"aceB"	17103.2	36891.5	32953	19252.3	20210.9	46280.5	35160.2	14188
"aceE_b0114_at"	"aceE"	4782.2	4682.4	3391.5	2426.5	3314.4	4194	3138.7	2143.5
"aceF_b0115_at"	"aceF"	3136	2818.4	1419.1	1509.6	2359.7	2590	1729.3	1237.9
"aceK_b4016_at"	"aceK"	903.9	2258.7	869.1	665.5	1369	3477	776.2	624.2
"ackA_b2296_at"	"ackA"	2070.6	3503.2	3882.2	3516.2	1763.3	2855.4	3226.1	2878
"acnA_b1276_at"	"acnA"	1641	1991.7	1432.9	1810.7	1142.1	2097.3	1359.5	971.3
"acnB_b0118_at"	"acnB"	2803.9	1083.9	795.5	1129.6	1576.3	717.9	704.8	807.7
"IG_70_129337_131614_fwd_at"	"acnB"	71.6	95.1	119.8	164	62.1	170	163.1	286.2
"yajB_b0404_at"	"acpH"	389.3	303.9	389.3	389	403.7	436	448	583.5
"acpP_b1094_at"	"acpP"	8051.2	7442.4	5505.2	5659.2	7003.8	4379.5	3599.4	4139.2
"acpS_b2563_at"	"acpS"	501.9	508	511	565.4	587.1	487.2	344.1	632.3
"acrA_b0463_at"	"acrA"	1261.1	582	590.6	585	1163	661.1	937.5	661.8
"acrB_b0462_at"	"acrB"	1080.5	775.3	575.6	681.1	675.1	736.2	666.2	722.3
"acrD_b2470_at"	"acrD"	197.7	200.5	125	198.4	237.4	309.2	223.3	266
"acrE_b3265_at"	"acrE"	12.6	23.4	19.5	129.1	9.2	38.9	80.9	259.7
"acrF_b3266_at"	"acrF_2"	8.6	8.3	61.8	141.1	11.9	16.4	11.3	198.4
"acrR_b0464_at"	"acrR"	173.5	126.6	27.8	320	247.9	76.9	227.2	461.4
"acs_b4069_at"	"acs"	3267.7	1278.4	1894.9	2715.2	1102.3	880.5	2143.7	2469.4
"yjcG_b4067_at"	"actP"	1335.5	367.1	393.6	309.8	286	444.5	620	413
"ada_b2213_at"	"ada"	305.4	533.9	658.2	820.2	293.1	495.3	695.4	663.8
"add_b1623_at"	"add"	821.1	1017.3	1227.6	1250.6	842.8	1262.1	1599.5	1096.8
"yicP_b3665_at"	"ade"	99.4	182.5	235.9	402.4	140.7	221.3	290.8	386.1
"adhE_b1241_at"	"adhE"	2530.3	3711.9	3763.7	3229.9	2152	3222.6	3069	2253.5
"adhP_b1478_at"	"adhP"	1072.5	4666.7	6618.7	5092.6	1333.9	3628.7	5210.4	3484.7
"adiA_b4117_at"	"adiA"	85.9	137.7	137.3	338.8	37.5	279	311.3	463.6
"adiY_b4116_at"	"adiY"	107.7	59.6	29.7	141.4	95.5	82.7	65.5	222.1
"adk_b0474_at"	"adk"	1321.9	764.9	435	170	1461.6	818.7	381.6	264.7
"yaiC_b0385_at"	"adrA"	167.3	156.1	271.6	392.2	161.3	225	394.8	583.8
"aefA_b0465_at"	"aefA"	426.9	461.5	363.8	314.8	388.6	308.3	372	551.6
"aer_b3072_at"	"aer"	504.7	476.7	561.2	862.9	548.1	586.8	707.1	682.9
"b0263_at"	"afuB"	20.3	19.3	22.6	97.3	30.7	21.4	97	216.7
"afuC_b0262_at"	"afuC"	183.3	88.5	175.6	178.8	176.7	163	181.3	298.6
"agaA_b3135_at"	"agaA"	164.5	223.2	299.5	506.1	231.1	245.5	256.7	469.5
"agaB_b3138_at"	"agaB"	38	4.5	14	39	2.9	23.6	7.2	114.3
"agaC_b3139_at"	"agaC"	17.3	17	34.2	70.2	11.1	26.6	38.9	292.9
"agaD_b3140_at"	"agaD"	18.4	12.7	19.4	105.1	16.9	85	37.6	71.2
"agaI_b3141_at"	"agaI"	98.4	54.9	140.8	200.8	75.2	132.9	153.3	415.6
"agaR_b3131_at"	"agaR"	726	744.6	532.4	551.5	943.3	824.5	463.7	673.5
"agaS_b3136_at"	"agaS"	46.9	23.4	44.5	140.5	38.2	126.3	79.3	241.8
"agaV_b3133_at"	"agaV"	252.6	125.1	172.4	176.8	197.3	233	122.9	345.9
"agaW_b3134_at"	"agaW"	39.2	32.1	29.2	38.7	42.9	31.8	32.8	52.2
"agaZ_b3132_at"	"agaZ"	126.6	16.4	26.4	22.6	46.4	12	12.1	99.4
"agp_b1002_at"	"agp"	2541.3	1646.8	1033	2071.7	1251.9	1476.3	1094.4	1688.5
"ahpC_b0605_at"	"ahpC"	8960.9	11976	9762.7	15071.8	10560.6	8421.7	9586.3	10816.6
"ahpF_b0606_at"	"ahpF"	1397.6	1814.6	1479.8	1285.9	1390.5	1029.3	1543.2	1070.2
"aidB_b4187_at"	"aidB"	997.5	2183.5	1925.4	379	1135.1	2323.2	1773.6	492
"ais_b2252_at"	"ais"	23.6	63.7	149.7	192.8	29.2	129.6	560.6	323.7
"b2379_at"	"alaC"	492	672.7	718.8	794.5	734.2	616.2	614.9	734.6
"alaS_b2697_at"	"alaS"	3131.4	2289.9	1704.7	1241.5	2661.7	2083.4	1258.9	825.7
